,month,main_category,canceled,failed,successful,month name
0,1,Art,0.08021653543307086,0.5378937007874016,0.38188976377952755,Jan
1,1,Comics,0.06910569105691057,0.3699186991869919,0.5609756097560976,Jan
2,1,Crafts,0.1062937062937063,0.6517482517482518,0.24195804195804196,Jan
3,1,Dance,0.0599250936329588,0.36704119850187267,0.5730337078651685,Jan
4,1,Design,0.1300893743793446,0.528798411122145,0.3411122144985104,Jan
5,1,Fashion,0.11063569682151589,0.6680929095354523,0.22127139364303178,Jan
6,1,Film & Video,0.09306296691568837,0.5413020277481323,0.3656350053361793,Jan
7,1,Food,0.08471665712650257,0.6908986834573555,0.22438465941614197,Jan
8,1,Games,0.17311608961303462,0.4610997963340122,0.36578411405295314,Jan
9,1,Journalism,0.11549295774647887,0.6704225352112676,0.2140845070422535,Jan
10,1,Music,0.0678884873515746,0.43779039752194115,0.49432111512648425,Jan
11,1,Photography,0.10424242424242425,0.616969696969697,0.2787878787878788,Jan
12,1,Publishing,0.09661016949152543,0.6169491525423729,0.2864406779661017,Jan
13,1,Technology,0.14073385973060845,0.665118439386902,0.19414770088248956,Jan
14,1,Theater,0.064,0.36533333333333334,0.5706666666666667,Jan
15,2,Art,0.07729897823189694,0.5277654375832963,0.39493558418480673,Feb
16,2,Comics,0.07529411764705882,0.3411764705882353,0.5835294117647059,Feb
17,2,Crafts,0.10102489019033675,0.6632503660322109,0.23572474377745242,Feb
18,2,Dance,0.0297029702970297,0.297029702970297,0.6732673267326733,Feb
19,2,Design,0.13884857281083696,0.502177068214804,0.358974358974359,Feb
20,2,Fashion,0.10691458454386985,0.6519465427077281,0.2411388727484021,Feb
21,2,Film & Video,0.08571981424148607,0.49322755417956654,0.42105263157894735,Feb
22,2,Food,0.09511568123393316,0.6467866323907455,0.2580976863753213,Feb
23,2,Games,0.17217787913340935,0.4606613454960091,0.3671607753705815,Feb
24,2,Journalism,0.15365239294710328,0.654911838790932,0.19143576826196473,Feb
25,2,Music,0.0655893536121673,0.42585551330798477,0.5085551330798479,Feb
26,2,Photography,0.08176100628930817,0.579874213836478,0.3383647798742138,Feb
27,2,Publishing,0.09072781655034895,0.57892987703556,0.33034230641409107,Feb
28,2,Technology,0.14884516680923868,0.6535500427715997,0.19760479041916168,Feb
29,2,Theater,0.04886769964243146,0.3420738974970203,0.6090584028605482,Feb
30,3,Art,0.08263836239575435,0.46474601971190294,0.45261561789234267,Mar
31,3,Comics,0.08325266214908035,0.3514036786060019,0.5653436592449177,Mar
32,3,Crafts,0.0901015228426396,0.6446700507614214,0.2652284263959391,Mar
33,3,Dance,0.036931818181818184,0.3153409090909091,0.6477272727272727,Mar
34,3,Design,0.1313526192337764,0.5093823299452698,0.3592650508209539,Mar
35,3,Fashion,0.10963983050847458,0.6408898305084746,0.24947033898305085,Mar
36,3,Film & Video,0.08217080639673359,0.5035726437563797,0.4142565498468867,Mar
37,3,Food,0.10201149425287356,0.60727969348659,0.2907088122605364,Mar
38,3,Games,0.17652892561983471,0.4502479338842975,0.37322314049586774,Mar
39,3,Journalism,0.11483253588516747,0.6698564593301436,0.215311004784689,Mar
40,3,Music,0.05786779434676163,0.4382372579568217,0.5038949476964166,Mar
41,3,Photography,0.09717868338557993,0.5851619644723093,0.3176593521421108,Mar
42,3,Publishing,0.09214720370906984,0.5734569689944944,0.3343958272964358,Mar
43,3,Technology,0.13948419905557574,0.6483835815474028,0.21213221939702143,Mar
44,3,Theater,0.05888030888030888,0.3233590733590734,0.6177606177606177,Mar
45,4,Art,0.07841483979763912,0.4633220910623946,0.4582630691399663,Apr
46,4,Comics,0.06927374301675977,0.394413407821229,0.5363128491620112,Apr
47,4,Crafts,0.11746987951807229,0.641566265060241,0.24096385542168675,Apr
48,4,Dance,0.021621621621621623,0.3162162162162162,0.6621621621621622,Apr
49,4,Design,0.1311407160699417,0.49833472106577853,0.37052456286427976,Apr
50,4,Fashion,0.1304100227790433,0.6138952164009112,0.25569476082004555,Apr
51,4,Film & Video,0.09389101006594933,0.5123221103783409,0.39378687955570985,Apr
52,4,Food,0.0893574297188755,0.6194779116465864,0.29116465863453816,Apr
53,4,Games,0.17336938154782022,0.4562352145995269,0.3703954038526529,Apr
54,4,Journalism,0.12564102564102564,0.6282051282051282,0.24615384615384617,Apr
55,4,Music,0.0629418472063854,0.44583808437856326,0.49122006841505134,Apr
56,4,Photography,0.09167671893848009,0.5379975874547648,0.3703256936067551,Apr
57,4,Publishing,0.08787784356497351,0.5930196322842007,0.3191025241508258,Apr
58,4,Technology,0.15076923076923077,0.6546153846153846,0.1946153846153846,Apr
59,4,Theater,0.06155218554861731,0.3220338983050847,0.6164139161462979,Apr
60,5,Art,0.08484609313338595,0.4909234411996843,0.42423046566692973,May
61,5,Comics,0.07230142566191446,0.3869653767820774,0.5407331975560081,May
62,5,Crafts,0.08552631578947369,0.6513157894736842,0.2631578947368421,May
63,5,Dance,0.028735632183908046,0.3390804597701149,0.632183908045977,May
64,5,Design,0.14326069410815173,0.5221953188054883,0.33454398708635996,May
65,5,Fashion,0.11918760021378942,0.6205237840726884,0.2602886157135222,May
66,5,Film & Video,0.09412188965019834,0.5402091597547782,0.36566895059502347,May
67,5,Food,0.07351351351351351,0.64,0.2864864864864865,May
68,5,Games,0.1836473969977643,0.4525710635579687,0.363781539444267,May
69,5,Journalism,0.10644257703081232,0.680672268907563,0.21288515406162464,May
70,5,Music,0.06873465744253515,0.4463289444320464,0.48493639812541844,May
71,5,Photography,0.08067940552016985,0.5626326963906582,0.35668789808917195,May
