,main_category,category,year,usd_pledged_real,pledged_minmax,x,y,success_rank
0,Art,Art,2009,159648.68,5.075424741121099,10.91769428453737,6.606100149472272,11.0
1,Art,Art,2010,660926.0,5.312689103985144,16.3271247652549,14.004164039094919,11.0
2,Art,Art,2011,1761989.98,5.833844227634564,19.24940071215366,8.683233876678186,11.0
3,Art,Art,2012,2596750.8400000003,6.228952874464511,6.502882177524844,4.28492143127222,11.0
4,Art,Art,2013,4481761.38,7.12116524259062,15.5560413181611,3.0965947195554318,11.0
5,Art,Art,2014,4552096.680000002,7.154456316165128,14.38017747002484,11.714617120002245,11.0
6,Art,Art,2015,6146612.629999997,7.90917191142347,13.566278087252778,1.292692973395206,11.0
7,Art,Art,2016,3428263.340000003,6.62252400895348,3.0930789294270244,11.707301789268554,11.0
8,Art,Art,2017,5585529.869999995,7.64360046373579,1.5117987970200093,9.815592226415216,11.0
9,Art,Ceramics,2012,26623.0,5.012461084178159,8.299250986341653,11.942241760501805,11.0
10,Art,Ceramics,2013,35431.5,5.016630319563251,15.181508727161303,3.0483705923587765,11.0
11,Art,Ceramics,2014,342749.13999999996,5.162089771132856,5.795291582751218,16.8294664900058,11.0
12,Art,Ceramics,2015,469001.72,5.221847587332564,10.530450740792642,3.8427260650354746,11.0
13,Art,Ceramics,2016,227596.67,5.107585854165755,7.031266720369244,14.584143463804905,11.0
14,Art,Ceramics,2017,333462.84,5.157694383659782,17.080228373440058,14.337857616077224,11.0
15,Art,Conceptual Art,2009,17104.489999999998,5.00795578716898,18.958684375592895,17.31782845580724,11.0
16,Art,Conceptual Art,2010,43313.04,5.020360806644708,8.63022780130272,12.407619335309146,11.0
17,Art,Conceptual Art,2011,268022.07,5.126719986893971,19.9704930966534,12.917367964531834,11.0
18,Art,Conceptual Art,2012,243226.47000000003,5.114983744297095,2.1816630337964873,12.79032046762708,11.0
19,Art,Conceptual Art,2013,446147.12999999995,5.211030062743841,16.439571008390693,7.477090571911323,11.0
20,Art,Conceptual Art,2014,156585.75,5.07397499642699,17.63101354043733,5.651922053063212,11.0
21,Art,Conceptual Art,2015,171217.93000000005,5.080900693494257,3.8673941252626216,5.456312432216108,11.0
22,Art,Conceptual Art,2016,200925.37,5.094961806061493,14.405803696247064,17.252600010700025,11.0
