,main_category,usd_pledged_real
0,Art,6971.894849695889
1,Comics,11385.660234508709
2,Crafts,5629.696888888893
3,Dance,5194.016120615912
4,Design,62863.39281069284
5,Fashion,20286.555533702835
6,Film & Video,13956.836132475028
7,Food,17349.390516023028
8,Games,54228.755135804226
9,Journalism,10344.950316205533
10,Music,7348.938944202439
11,Photography,10111.690305597589
12,Publishing,9436.910726016235
13,Technology,92670.79470387062
14,Theater,5973.134903581271
